Gender,City,Country,Student Course,Month enr,Year enr,enrollments
Female,MOMBASA,Kenya,[DIPLOMA MARITIME MANAGEMENT(ICM)],Aug,2019,1
Male,NAIROBI,Kenya,[Artisan Electrical installation(KNEC)],Aug,2019,1
Male,KISUMU,Kenya,[DIPLOMA IN JOURNALISM & MASS COMMUNICATION(ICM)],Aug,2019,1
Male,KISUMU,Kenya,[CERT ELECTRICAL AND ELECTRONICS (KNEC)],Aug,2019,1
Male,NAIROBI,Kenya,[DIPLOMA ELECTRICAL AND ELECTRONICS (KNEC)],Aug,2019,1
Male,NAIROBI,Kenya,[DIPLOMA ELECTRICAL AND ELECTRONICS (KNEC)],Aug,2019,1
Female,NAIROBI,Kenya,[DIPLOMA IN JOURNALISM & MASS COMMUNICATION(ICM)],Aug,2019,1
Male,MACHAKOS,Kenya,[DIPLOMA ELECTRICAL AND ELECTRONICS (KNEC)],Aug,2019,1
Male,NAIROBI,Kenya,"[COMPUTERIZED DIPLOMA IN CUSTOMS ,CLEARING & FORWARDING(ICM)]",Aug,2019,1
Male,RONGO,Kenya,[CERT IN FOOD AND BEVERAGE(KNEC)],Aug,2019,1
Male,MOMBASA,Kenya,[Diploma in Aeronautical Engineering(KNEC)],Aug,2019,1
Female,MACHAKOS,Kenya,[DIPLOMA BANKING & FINANCE(KNEC)],Aug,2019,1
Female,,Kenya,[DIPLOMA AIRPORT OPERATIONS(IATA)],Aug,2019,1
Female,,Kenya,"[COMPUTERIZED DIPLOMA IN CUSTOMS ,CLEARING & FORWARDING(ICM)]",Aug,2019,1
Female,NAIROBI,Kenya,[DIPLOMA HOTEL AND CATERING MANAGEMENT(ICM)],Aug,2019,1
Male,RONGAI,Kenya,[DIPLOMA IN CABIN CREW/ AIR HOSTESS(IATA)],Aug,2019,1
Female,NAIROBI,"Congo, The Democratic Republic Of The",[DIPLOMA IN CABIN CREW/ AIR HOSTESS(IATA)],Aug,2019,1
Female,STAREHE,Kenya,[COMPUTERIZED DIP IN TRAVEL & TOURISM MGT (IATA)],Aug,2019,1
Male,KAYOLE,Kenya,[DIP. INFORMATION COMM. TECHNOLOGY(DICT)(KNEC)],Aug,2019,1
Female,TAITA,Kenya,[DIPLOMA IN COMMUNITY DEVELOPMENT & SOCIAL WORK],Aug,2019,1
Female,EMBU,Kenya,[DIPLOMA IN CABIN CREW/ AIR HOSTESS(IATA)],Aug,2019,1
Female,NAIROBI,Kenya,"[Diploma in Food and Beverage Production, Sales and Service Mgt(KNEC)]",Aug,2019,1
Female,NAIROBI,Kenya,"[Diploma in Food and Beverage Production, Sales and Service Mgt(KNEC)]",Aug,2019,1
Female,NAIROBI,Kenya,[Artisan Food And Beverage production and Services],Aug,2019,1
Male,NAIROBI,Kenya,[Artisan Electrical installation(KNEC)],Aug,2019,1
Male,STAREHE,Kenya,[CERTIFICATE BANKING & FINANCE(KNEC)],Aug,2019,1
Female,KIAMBU,Kenya,[CERTIFICATE IN TOUR GUIDE AND ADMINISTRATION(ICM)],Aug,2019,1
Male,NAKURU,Kenya,[DIPLOMA IN INTERNATIONAL FREIGHT MANAGEMENT(KNEC)],Aug,2019,1
Female,NAKURU,Kenya,[DIPLOMA IN CABIN CREW/ AIR HOSTESS(IATA)],Aug,2019,1
Male,LIMURU,Kenya,[CERTIFICATE IN TOUR GUIDE AND ADMINISTRATION(ICM)],Aug,2019,1
Male,MWINGI,Kenya,[CERTIFICATE IN JOURNALISM & MASS COMMUNICATION(ICM)],Aug,2019,1
Male,MACHAKOS,Kenya,[DIPLOMA IN INTERNATIONAL FREIGHT MANAGEMENT(KNEC)],Aug,2019,1
Female,PANGANI,Tanzania,[DIP. COMPUTER AIR TRAVEL OPERATION FL1(IATA)],Aug,2019,1
Female,NAIROBI,Kenya,[DIPLOMA IN CABIN CREW/ AIR HOSTESS(IATA)],Aug,2019,1
Female,RUAKA,Kenya,[CERTIFICATE IN JOURNALISM & MASS COMMUNICATION(ICM)],Aug,2019,1
Male,,Kenya,[CERT IN FOOD AND BEVERAGE(KNEC)],Aug,2019,1
Female,NAIROBI,Kenya,[Artisan Salesmanship],Aug,2019,1
Male,KISII,Kenya,"[Diploma in Food and Beverage Production, Sales and Service Mgt(KNEC)]",Aug,2019,1
Male,KAJIADO,Kenya,"[COMPUTERIZED DIPLOMA IN CUSTOMS ,CLEARING & FORWARDING(ICM)]",Aug,2019,1
Female,KISUMU,Kenya,[DIPLOMA IN CABIN CREW/ AIR HOSTESS(IATA)],Aug,2019,1
Male,KANGEMI,Kenya,[CERT IN FOOD AND BEVERAGE(KNEC)],Aug,2019,1
Male,NAKURU,Kenya,[DIPLOMA IN CABIN CREW/ AIR HOSTESS(IATA)],Aug,2019,1
Male,NAIROBI,Somalia,[DIPLOMA IN  HUMAN RESOURCE (ICM)],Aug,2019,1
Female,MACHAKOS,Kenya,[DIPLOMA IN COMMUNITY DEVELOPMENT & SOCIAL WORK],Aug,2019,1
Male,MOMBASA,Kenya,[CERTIFICATE IN INFORMATION TECHNOLOGY IT (KNEC)],Aug,2019,1
Male,NAIROBI,Kenya,[DIPLOMA HOTEL AND CATERING MANAGEMENT(ICM)],Aug,2019,1
Female,THIKA,Kenya,[DIPLOMA IN CABIN CREW/ AIR HOSTESS(IATA)],Aug,2019,1
Male,NAIROBI,Kenya,[DIPLOMA HOTEL AND CATERING MANAGEMENT(ICM)],Aug,2019,1
Male,UMOJA,Kenya,[CERTIFICATE IN INFORMATION TECHNOLOGY IT (KNEC)],Aug,2019,1
Male,NAIROBI,Kenya,"[COMPUTERIZED DIPLOMA IN CUSTOMS ,CLEARING & FORWARDING(ICM)]",Aug,2019,1
Male,NAIROBI,Sudan,[DIPLOMA ENGLISH],Aug,2019,1
Female,NAIROBI,Kenya,[COMPUTERIZED DIP IN TRAVEL & TOURISM MGT (IATA)],Aug,2019,1
Male,NYANDARUA,Kenya,[CERT IN FOOD AND BEVERAGE(KNEC)],Aug,2019,1
Male,NAIROBI,Kenya,[CERT IN ELECTRICAL AND ELECTRONICS TECHNOLOGY(CITY&GUILDS)],Aug,2019,1
Male,NAIROBI,Kenya,[CPA SEC 1],Aug,2019,1
Female,BUSIA,Kenya,[DIPLOMA IN CABIN CREW/ AIR HOSTESS(IATA)],Aug,2019,1
